Nr.;Autor;Titel;Format;Inhaltsbeschreibung;Genre;Verlag;Sprache;Zustand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Andersen, Hans Christian;Sämtliche Märchen und Geschichten Band 1;;;Märchensammlung;Gustav Kiepenheuer Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Andersen, Hans Christian;Sämtliche Märchen und Geschichten Band 2;;;Märchensammlung;Gustav Kiepenheuer Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Andersen, Hans Christian;Däumelinchen und andere Märchen;;;Märchensammlung;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Barr, Nevada;Zeugen aus Stein;;;Roman;Heyne;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Beckman, Gunnel;Ich, Annika;;;Roman;Neues Leben;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Bianki, Witli;Mäuschen Pik und andere Geschichten;;;Märchensammlung;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Bierbaum, Otto Julius;Zäpfel Kerns Abenteuer;;;Märchen;Alfred Holz Verlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Blyton, Enid;Fünf Freunde auf neuen Abenteuern;Hardcover;Fünf Freunde - Band 2;Abenteuerbuch;C. Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Blyton, Enid;Fünf Freunde auf geheimnisvollen Spuren;Hardcover;Fünf Freunde - Band 3;Abenteuerbuch;C. Bertelsmann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Blyton, Enid;Geheimsnis um ein blaues Boot;Hardcover;;Abenteuerbuch;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Blyton, Enid;Geheimnis um einen Wohnwagen;Hardcover;;Abenteuerbuch;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Blyton, Enid;Geheimnis um eine verschwundene Halskette;Hardcover;;Abenteuerbuch;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Blyton, Enid;Geheimnis um eine Efeuvilla;Hardcover;;Abenteuerbuch;Albert Langen;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Blyton, Enid;Rätsel um..unterirdischen Gang .. Schneemannn;Hardcover;;Abenteuerbuch;Carl Habel Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Blyton, Enid;Rätsel um...die grüne Hand ...den geheimen Hafen;Hardcover;;Abenteuerbuch;Carl Habel Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Blyton, Enid;Rätsel um.. verbotene Höhle.. verlassenes Haus;Hardcover;;Abenteuerbuch;Carl Habel Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Blyton, Enid;Unheimliche Verfolgung;Hardcover;;Kinderbuch;Schneider Buch;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Bocccaccio, Giovanni;Das Dekameron Band 1;;;Roman;Aufbau Verlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Bocccaccio, Giovanni;Das Dekameron Band 2;;;Roman;Aufbau Verlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;-;Die Besten Horror-Stories;Paperback;Mit Geschichtren von Stephen King, Richard Metheson, Robert Bloch, Brian W. Aldiss, John Anthony West u.v.a;Horror;Knaur;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Slater, Robert;Jack Welch and the Ge Way - Management Insights and Leadership Secrets of the Legendary CEO;Hardcover mit Einband;;Management;McGraw-Hill;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Berenstain, Jan & Stan;The Big Book Of Berenstain Bears;Hardcover;;Kinderbuch;Random House;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Kijewski, Karen;Copy Kat;Hardcover mit Einband;;Krimi;Perfect Crime;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Bronte, Lydia;The Longevity Factor;Hardcover mit Einband;The New Reality of Long Careers and How It Can Lead to Richer Lives;Sachbuch;Harper Collins;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Cooper, Jilly;Pandora;Hardcover mit Einband;;Roman;Bantam Press;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Mitchell, Emily;The Last Summer Of The World;Hardcover mit Einband;;Roman;Norton;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Faulks, Sebastian;Human Traces;Paperback;;Roman;Hutchinson;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Crystal, David;The Cambridge Factfinder;Paperback;;Sachbuch;Cambridge;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;-;Rainbow Encyclopedia;Hardcover;;Sachbuch;Whsmith;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Vincent, Felix;Catlands / Pays des chats;Hardcover mit Einband;;Kinderbuch;;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Shrapnel, Norman;Parliament;Hardcover mit Einband;;Kinderbuch;Oxford;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Burton, Jane;Nature Horses Series;Hardcover mit Einband;;Bildband;Colour Library International;Englisch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Bombarde, Odile & Moatti, Claude;Wie lebten die Römer;;;Nachschlagewerk;Ravensburger;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Brennecke, D. Wolf;Màndola;;;Kriminalroman;Mitteldeutscher Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Brezina, Thomas;Alle meine Monster;;;Kinderbuch;Omnibus;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Brock, Peter;Küßchen und der General;Hardcover;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Brock, Peter;Gestatten - Oskar;Hardcover;;Kinderbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Brückner, Heinrich;Denkst du schon an Liebe;;;Aufklärungsbuch;Kinderbuchverlag Berlin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Brückner, Werner;Der Fiedler im Stroh;;;Geschichtensammlung;Mitteldeutscher Verlag;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Brüder Grimm;Kinder und Hausmärchen Teil 1;;;Märchensammlung;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Brüder Grimm;Kinder und Hausmärchen Teil 2;;;Märchensammlung;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Bruller, Helene;Das große Piephahnlexikon;;;Nachschlagewerk;Carlsen;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Buckowitz, Alfred;Überrachungen mit Tieren;;;Tiergeschichten;Petermänken-Verlag Schwerin;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Busch, Wilhelm;Wilhelm Busch Album;;;Kinderbuch;;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Busch, Wilhelm ;Das große farbige Wilhelm Busch Album ;;;Kinderbuch;Bassermann;Deutsch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
